Franchise,Menu_Item,Cost_Dollars,Serving_Weight_G,Calories,Calories_Fat,Total_Fat_G,Sat_Fat_G,Trans_Fat_G,Chol_mG,Sodium_mG,Carbs_G,Fiber_G,Sugars_G,Protein_G,Percent_Carb,Percent_Protein,Percent_Fat,Distance_From_Macros,Distance_From_Macros_Revised,Distance_From_Macros_Revised_Normalized_Min_Max,Distance_From_Macros_Revised_Normalized_Mean,Distance_From_Macros_Normalized_Min_Max,Distance_From_Macros_Normalized_Mean,Calories_Normalized_Min_Max,Serving_Weight_G_Normalized_Min_Max,Distance_From_Macros_Revised_Normalized_Min_Max_Modified,Agg_Score
Taco Bell,Chipotle Ranch Grilled Chicken Burrito,1.49,248.0,400.0,110.0,5.0,0.0,12.0,40.0,1060.0,51.0,7.0,5.0,21.0,0.6623376623376623,0.2727272727272727,0.06493506493506493,0.5169989428405986,209.3,0.5337786196125345,-0.3577118252234308,0.4219761715067481,0.2155020264973669,0.4807692307692308,0.5406091370558376,0.4662213803874655,0.48247129152133916
Taco Bell,Beefy Melt Burrito,1.69,245.0,540.0,190.0,8.0,0.0,22.0,35.0,1280.0,68.0,9.0,6.0,19.0,0.7157894736842105,0.2,0.08421052631578947,0.5562786921854022,161.01999999999998,0.3733426378227494,-1.07627958168838,0.4959772183929454,0.5008590378063665,0.75,0.5329949238578681,0.6266573621772507,0.6557779196673055
Taco Bell,Fiesta Veggie Burrito,3.79,213.0,350.0,70.0,2.5,0.0,8.0,0.0,990.0,57.0,11.0,4.0,12.0,0.7972027972027972,0.16783216783216784,0.03496503496503497,0.6441447741752744,239.60000000000002,0.6344664872229422,0.09325344032934371,0.6615124410330353,1.1391829316776096,0.38461538461538464,0.4517766497461929,0.3655335127770578,0.38514863846584246
Taco Bell,Cinnamon Twists,1.0,35.0,170.0,60.0,0.0,0.0,7.0,0.0,200.0,26.0,1.0,10.0,1.0,0.9629629629629629,0.037037037037037035,0.0,0.8238139414642676,349.6,1.0,1.7304210710489865,1.0,2.444432009310697,0.038461538461538464,0.0,0.0,0.013461538461538462
Taco Bell,Cheesy Bean and Rice Burrito,1.0,248.0,540.0,230.0,7.0,0.5,26.0,45.0,1360.0,59.0,7.0,4.0,19.0,0.6941176470588235,0.2235294117647059,0.08235294117647059,0.5371654426736405,185.68,0.45528860532349713,-0.7092563655652305,0.459968829926623,0.36200632494400636,0.75,0.5406091370558376,0.5447113946765029,0.615947067896627
Taco Bell,Empanada,1.0,85.0,310.0,140.0,2.5,0.0,15.0,0.0,310.0,39.0,2.0,13.0,3.0,0.8764044943820225,0.06741573033707865,0.056179775280898875,0.7251109471112006,301.25,0.8393314059748114,1.010811480637216,0.8140485864914093,1.727380807466245,0.3076923076923077,0.12690355329949238,0.16066859402518863,0.20706213769982587
Taco Bell,Shredded Chicken Quesadilla Melt,1.0,184.0,530.0,250.0,12.0,0.5,28.0,75.0,1210.0,41.0,4.0,3.0,28.0,0.5061728395061729,0.345679012345679,0.14814814814814814,0.38425616043175104,179.82999999999998,0.4358488685076262,-0.796323916835321,0.17189553126098936,-0.7488392509512548,0.7307692307692307,0.37817258883248733,0.5641511314923737,0.5945706848402907
Wendy's,Jr. Cheeseburger Deluxe,1.89,114.0,360.0,190.0,21.0,8.0,1.0,45.0,620.0,27.0,1.0,6.0,16.0,0.421875,0.25,0.328125,0.31328027587130347,178.31,0.43079785996743425,-0.8189465968234466,0.03818058020461653,-1.2644603185755383,0.40384615384615385,0.20050761421319796,0.5692021400325658,0.4560233659944164
Wendy's,Jr. Bacon Cheeseburger,1.99,151.0,390.0,220.0,24.0,9.0,1.0,50.0,660.0,25.0,1.0,5.0,19.0,0.36764705882352944,0.27941176470588236,0.35294117647058826,0.2963153188177924,193.74,0.4820722427142525,-0.589296628259773,0.006219465297316851,-1.3877062537590807,0.46153846153846156,0.29441624365482233,0.5179277572857475,0.46466477672955864
Wendy's,Regular Nuggets (6),1.79,90.0,250.0,140.0,16.0,3.5,0.0,50.0,510.0,14.0,1.0,0.0,13.0,0.32558139534883723,0.3023255813953488,0.37209302325581395,0.2930140271710268,232.83999999999997,0.6120027913468247,-0.007357952249427773,0.0,-1.4116892662144545,0.19230769230769232,0.13959390862944163,0.38799720865317533,0.2822453829286962
Wendy's,Crispy Chicken Sandwich,1.0,125.0,330.0,150.0,16.0,3.0,0.0,30.0,590.0,32.0,1.0,4.0,14.0,0.5161290322580645,0.22580645161290322,0.25806451612903225,0.36602599090032956,193.99,0.48290300069783665,-0.5855757927354102,0.13755082049423098,-0.8812766208407095,0.34615384615384615,0.22842639593908629,0.5170969993021634,0.41396630519579075
Wendy's,Fries,1.0,142.0,350.0,144.0,16.0,2.5,0.0,0.0,620.0,47.0,4.0,0.0,5.0,0.6911764705882353,0.07352941176470588,0.23529411764705882,0.5371171284632257,189.64,0.4684478117834711,-0.6503183308593237,0.4598778084152892,0.3616553349576214,0.38461538461538464,0.2715736040609137,0.5315521882165288,0.44112751933278604
Wendy's,Caesar Salad,1.49,354.0,480.0,160.0,29.0,12.5,0.5,150.0,1080.0,9.0,5.0,3.0,50.0,0.10227272727272728,0.5681818181818182,0.32954545454545453,0.4380530742590087,313.19,0.8790084072707938,1.1885185852807845,0.27324617653923544,-0.35801887140560745,0.6346153846153846,0.8096446700507615,0.12099159272920623,0.4040578814876019
Wendy's,Small Frosty,1.0,212.0,350.0,80.0,9.0,6.0,0.0,35.0,150.0,58.0,0.0,47.0,10.0,0.7532467532467533,0.12987012987012986,0.11688311688311688,0.589837761525635,200.01,0.5029076529425447,-0.49597807330875365,0.5592007955574533,0.7446568188252316,0.38461538461538464,0.44923857868020306,0.4970923470574553,0.45054734494614274
Wendy's,Crispy Chicken Caesar Wrap,1.79,157.0,430.0,225.0,25.0,7.0,0.0,45.0,950.0,35.0,2.0,1.0,17.0,0.45454545454545453,0.22077922077922077,0.3246753246753247,0.3328199228244026,186.10000000000002,0.45668427873591866,-0.7030053618843007,0.07499227973006979,-1.1225099408471988,0.5384615384615384,0.3096446700507614,0.5433157212640813,0.5065660996011934
